id,brand,car_model,type,desc,problem,datetime,status
525028,江铃集团新能源,江铃E200L,2017款 E200P 标准版,江铃新能源E200L充电机故障无配件更换,"N318,",2020-09-22,信息审核
525027,上汽通用五菱,五菱荣光新卡,2019款 1.8L 单排 国VI LJ479Q6,上汽通用五菱荣光新卡5挡车速低 油耗高,"A85,B334,",2020-09-22,信息审核
525026,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉没有按约定时间贴膜,"I293,I282,",2020-09-22,信息审核
525022,广汽本田,凌派,2013款 1.8L 自动 旗舰版,广汽本田凌派高速行驶中无故熄火,"A14,",2020-09-22,信息审核
525020,一汽奔腾,奔腾X40,2017款 1.6L 自动 豪华型,一汽奔腾X40发动机缺缸抖动故障灯亮,"A24,A34,",2020-09-22,信息审核
525017,上汽集团,荣威360,2016款 1.5L 手动 智屏版,上汽荣威360变速箱异响严重希望处理,"B33,",2020-09-22,信息审核
525016,广汽乘用车,传祺M6,2019款 270T 自动 尊荣版（七座）国V,广汽传祺M6仪表盘和中控屏漏光要求解决,"H134,",2020-09-22,信息审核
525015,广汽乘用车,传祺M6,2019款 270T 自动 尊荣版（六座）国VI,广汽传祺M6车机导航大屏幕漏光影响观看,"H134,",2020-09-22,信息审核
525008,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700电动尾门撑杆失效4S店不保修,"H68,I297,",2020-09-22,信息审核
525007,东风乘用车,风神AX7,2020款 1.6T 自动 AI领航型 国VI,东风风神AX7制动卡钳品牌与宣传不符,"M279,",2020-09-22,处理反馈
525004,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 时尚型,奇瑞瑞虎8影音系统不保存用户设置,"H134,",2020-09-22,信息审核
525002,东风标致,标致4008,2017款 350THP 豪华版,东风标致4008中控扶手箱开裂要求处理,"H168,",2020-09-22,信息审核
524996,东风乘用车,风神AX7,2015款 2.0L 手动 智逸型 5座,东风风神AX7车身生锈严重厂家不予解决,"H79,I295,",2020-09-22,处理反馈
524995,上汽大众,辉昂,2019款 380TSI 两驱 商务版 国VI,上汽大众辉昂多媒体及导航系统频繁死机重启,"H134,",2020-09-22,信息审核
524994,华晨宝马,宝马3系,2021款 325Li M运动套装,华晨宝马3系变速箱漏油要求厂家赔偿,"B22,",2020-09-22,信息审核
